,EquipmentID,SurveyDate,AreaName,AreaID,Route,EquipmentName,AnalysisDate,FaultStatus,FaultName,Comment,Location,Analyst
11,02CTAP101,2019-10-17 22:00:00,TRANCHE 2 - TG2-TV2 - 3 MOIS,TR 2,TRANCHE 2 - TG2-TV2 - 3 MOIS,02CTAP101 TRANCHE 2 02CTAP101,2019-10-21 07:46:31,1. FOR INFORMATION,Other,"Pas de problème particulier, nous observons des harmoniques de la fréquence de rotation traduisant la présence d'un léger jeu rotatif sur l'ensemble du groupe avec des niveaux acceptables, évolution à suivre.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
12,02APHP201,2019-10-17 22:00:00,TRANCHE 2 - TG2-TV2 - 3 MOIS,TR 2,TRANCHE 2 - TG2-TV2 - 3 MOIS,02APHP201 LIGNE APH 02APHP201 1MOIS,2019-10-21 07:51:02,1. FOR INFORMATION,Other,"Ligne APH à l'arrêt - Pas de défaut majeur relevé sur le moteur hydraulique, sont visibles principalement des harmoniques de la fréquence de rotation traduisant un léger jeu rotatif ainsi que des informations à 11 fois la vitesse de rotation, les niveaux vibratoires sont faibles, évolution à suivre.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
13,01CVIP201,2019-11-18 23:00:00,TRANCHE 1 TV1-TG1 - 3 MOIS,TR 1,TRANCHE 1 TV1-TG1 - 3 MOIS,01CVIP201 PPE ANNEAULIQ 01CVIP201 1MOI,2019-11-19 13:22:55,1. FOR INFORMATION,Other,"Comportement vibratoire sain. 
Sont visibles sur le moteur, des fréquences d'origine électrique ainsi que des harmoniques de la fréquence de rotation.
Nous observons un pic à 15 ordres lié au fonctionnement de la pompe.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,tk/400
14,02APHP101,2019-11-18 23:00:00,TRANCHE 2 - TG2-TV2 - 3 MOIS,TR 2,TRANCHE 2 - TG2-TV2 - 3 MOIS,02APHP101 LIGNE  APH 02APHP101 1MOIS,2019-11-19 13:39:50,1. FOR INFORMATION,Other,"Comportement vibratoire sain sur le moteur hydraulique. Nous observons une fréquences à 11 ordres, stables depuis les premières mesures. Les amplitudes vibratoires sont très faibles. 

AUCUNE ACTION REQUISE. EQUIPEMENT A SUIVRE SELON PLANNING.",Moteur hydraulique,tk/400
15,01CRFP501,2019-11-18 23:00:00,STATION DE POMPAGE 1MOIS-3MOIS,PPE,STATION DE POMPAGE 1MOIS-3MOIS,01CRFP501 PPE EAU MER 01CRFP501  1MOIS,2019-11-19 15:09:19,1. FOR INFORMATION,Other,"Nous n'observons pas de défaut particulier sur l'équipement. Les amplitudes vibratoires sont stables. Des impacts aléatoires liés au fonctionnement de la pompe sont toujours visibles en PeakVue, mais n'ont pas évolués. La fréquence du passage des aubes (5 aubes) est également relevée. 

PAS D'ACTION REQUISE. EQUIPEMENT A SUIVRE SELON PLANNING.",,tk/400
16,01ADGP201,2019-11-18 23:00:00,TRANCHE 1 TV1-TG1 - 3 MOIS,TR 1,TRANCHE 1 TV1-TG1 - 3 MOIS,01ADGP201 PPE EVAPORATEUR 01ADGP201,2019-11-19 16:18:47,1. FOR INFORMATION,Electrical problem,"Nous ne relevons pas de fréquences particulières sur l'équipement. Les amplitudes vibratoires sont tout à fait acceptables. 

AUCUNE ACTION REQUISE. EQUIPEMENT A SUIVRE SELON PLANNING.",,tk/400
17,02CFIP501,2019-11-18 23:00:00,STATION DE POMPAGE 1MOIS-3MOIS,PPE,STATION DE POMPAGE 1MOIS-3MOIS,02CFIP501 PPE BP 02 CFI P501,2019-11-19 17:06:05,1. FOR INFORMATION,Other,"Aucun défaut particulier n'est relevé sur cet équipement. Nous observons la fréquence du passage des aubes et des harmoniques de la vitesse de rotation très faibles. Comportement vibratoire sain. 

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON PLANNING",,tk/400
18,MBV21AP002,2020-06-22 22:00:00,TRANCHE 1 TV1-TG1 - 3 MOIS,TR 1,TRANCHE 1 TV1-TG1 - 3 MOIS,MBV21AP002 PPE GRAIS PRIN 11MBV21AP002,2020-06-24 11:26:39,1. FOR INFORMATION,N/A,Aucun défaut particulier relevé. Equipement à suivre selon planning. ,,Administrator/44534
19,02CEXP201,2020-06-22 22:00:00,TRANCHE 2 - TG2-TV2 - 3 MOIS,TR 2,TRANCHE 2 - TG2-TV2 - 3 MOIS,02CEXP201 PPE EXTRACTION 02CEXP201,2020-06-24 12:04:31,1. FOR INFORMATION,N/A,Nous ne relevons pas de défauts particuliers sur cet équipement. Comportement vibratoire sain. A suivre selon planning. ,,Administrator/44534
20,02CTAP201,2020-06-22 22:00:00,TRANCHE 2 - TG2-TV2 - 3 MOIS,TR 2,TRANCHE 2 - TG2-TV2 - 3 MOIS,02CTAP201 TRANCHE 2 02CTAP201,2020-06-24 12:12:08,1. FOR INFORMATION,N/A,Nous ne relevons pas de défauts particuliers. Comportement vibratoire sain. Equipement à suivre périodiquement. ,,Administrator/44534
21,02APHP101,2020-06-22 22:00:00,TRANCHE 2 - TG2-TV2 - 3 MOIS,TR 2,TRANCHE 2 - TG2-TV2 - 3 MOIS,02APHP101 LIGNE  APH 02APHP101 1MOIS,2020-06-24 12:14:48,1. FOR INFORMATION,N/A,Ligne arrêtée. Mesure du moteur hydraulique. Pas de défaut particulier sur cet équipement. Comportement vibratoire sain. ,Moteur hydraulique,Administrator/44534
22,2TTAFAN202,2020-06-22 22:00:00,CHAUDIERE 1MOIS-3MOIS,CHAU,CHAUDIERE 1MOIS-3MOIS,2TTAFAN202 MOTEUR DU VIRAGE 02TTAFAN202,2020-06-24 13:17:33,1. FOR INFORMATION,N/A,Nous ne relevons pas de défauts particuliers. La signature d'un classique réducteur. Les amplitudes vibratoires sont acceptables. A suivre de manière périodique. ,,Administrator/44534
23,09SDXMO001,2020-06-22 22:00:00,UTILITE,UTIL,UTILITE,09SDXMO001 GO6 ST REJET 06 SDX MO 001,2020-06-24 13:58:22,1. FOR INFORMATION,N/A,Pas d'évolution notable ni de défauts particuliers ne sont relevés sur l'équipement. A suivre périodiquement. ,,Administrator/44534
24,01APHP201,2020-07-20 22:00:00,TRANCHE 1 TV1-TG1 - 3 MOIS,TR 1,TRANCHE 1 TV1-TG1 - 3 MOIS,01APHP201 LIGNE  APH 01APHP201 1MOIS,2020-07-21 15:51:59,1. FOR INFORMATION,Other,Ligne à l'arrêt. RAS sur le moteur hydraulique. ,Moteur hydraulique,HL/44534
25,01CEXP101,2019-04-14 22:00:00,TRANCHE 1 TV1-TG1 - 3 MOIS,TR 1,TRANCHE 1 TV1-TG1 - 3 MOIS,01CEXP101 PPE EXTRACTION 01CEXP101,2019-04-15 13:39:15,1. FOR INFORMATION,Looseness,"Nous ne relevons pas de défaut majeur sur cet équipement, visibles principales des harmoniques de la fréquence de rotation traduisant la présence d'un léger jeu rotatif.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",Pompe,Administrator/44538
26,09SDAMO003,2019-06-20 22:00:00,UTILITE,UTIL,UTILITE,09SDAMO003 G05 DEMINEE  09 SDA MO 003,2019-06-21 12:15:37,1. FOR INFORMATION,Other,"Pas de défaut majeur relevé sur cet équipement, sont visibles des harmoniques de la fréquence de rotation traduisant un léger jeu et un pic à 2 fois la fréquence de rotation pouvant être associé au lignage du groupe ou à la fréquence électrique (100 Hz). Les amplitudes sont faibles.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
27,09SDXMO002,2019-06-20 22:00:00,UTILITE,UTIL,UTILITE,09SDXMO002 GO6 ST REJET 06 SDX MO 002,2019-06-21 12:23:59,1. FOR INFORMATION,Other,"Pas de défaut majeur relevé sur cet équipement, présence principalement d'informations synchrones traduisant un jeu mécanique. Évolution à suivre.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
28,1TTAFAN301,2019-07-29 22:00:00,CHAUDIERE 1MOIS-3MOIS,CHAU,CHAUDIERE 1MOIS-3MOIS,1TTAFAN301 VTL AIR BARRAGE 01TTAFAN301,2019-07-31 05:34:51,1. FOR INFORMATION,Other,"Pas de défaut majeur relevé sur cet équipement, nous observons principalement des informations d'origines électriques liées à l'alimentation du moteur ainsi que des informations à 4 et 8 fois la fréquence de rotation pouvant être associées aux nombres d'aubes de la roue.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
29,1TTAFAN302,2019-07-29 22:00:00,CHAUDIERE 1MOIS-3MOIS,CHAU,CHAUDIERE 1MOIS-3MOIS,1TTAFAN302 VTL AIR BARRAGE 01TTAFAN302,2019-07-31 05:38:53,1. FOR INFORMATION,Other,"Pas de défaut majeur relevé sur cet équipement, nous observons principalement des informations d'origines électriques liées à l'alimentation du moteur ainsi que des informations à 4 et 8 fois la fréquence de rotation pouvant être associées aux nombres d'aubes de la roue.
La valeur du déséquilibre est acceptable (3.8 mm/s rms).

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
30,1TTAFAN201,2019-07-29 22:00:00,CHAUDIERE 1MOIS-3MOIS,CHAU,CHAUDIERE 1MOIS-3MOIS,1TTAFAN201 VTL COMBUSTION 01TTAFAN201,2019-07-31 05:42:16,1. FOR INFORMATION,Other,"Pas de défaut majeur relévé sur cet équipement, les niveaux sont stables et faibles, évolution à suivre.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
31,09SDAMO003,2019-07-29 22:00:00,UTILITE,UTIL,UTILITE,09SDAMO003 G05 DEMINEE  09 SDA MO 003,2019-07-31 07:31:05,1. FOR INFORMATION,Other,"Pas de défaut majeur relevé sur cet équipement, sont visibles des harmoniques de la fréquence de rotation traduisant un léger jeu et un pic à 2 fois la fréquence de rotation pouvant être associé au lignage du groupe ou à la fréquence électrique (100 Hz). Les amplitudes sont faibles.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
32,MAV21AP021,2019-07-29 22:00:00,TRANCHE 2 - TG2-TV2 - 3 MOIS,TR 2,TRANCHE 2 - TG2-TV2 - 3 MOIS,MAV21AP021 PPE AUXIL LUB 22MAV21AP021,2019-07-31 07:51:26,1. FOR INFORMATION,Other,"Nous observons principalement des informations d'origines électriques ainsi que des harmoniques de la fréquence de rotation traduisant la présence d'un léger jeu rotatif. Les amplitudes sont faibles.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
33,1TTAFAN201,2019-10-17 22:00:00,CHAUDIERE 1MOIS-3MOIS,CHAU,CHAUDIERE 1MOIS-3MOIS,1TTAFAN201 VTL COMBUSTION 01TTAFAN201,2019-10-18 11:36:58,1. FOR INFORMATION,Other,"Pas de défaut majeur relévé sur cet équipement, les niveaux sont en légére hausse sur le pic à 4 fois la fréquence de rotation mais restent faibles, évolution à suivre.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
34,2TTAFAN201,2019-10-17 22:00:00,CHAUDIERE 1MOIS-3MOIS,CHAU,CHAUDIERE 1MOIS-3MOIS,2TTAFAN201 VTL COMBUSTION 02TTAFAN201,2019-10-18 11:42:44,1. FOR INFORMATION,Other,"Pas de problème majeur relevé sur cet équipement, le problème de lubrification repéré lors de la dernière mesure sur le palier moteur côté accouplement semble être résolu, à vérifier lors d'une mesure à la même vitesse de rotation.

Roulements - ok
Jeu - ok
Déséquilibre - ok

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
35,09SEBMO501,2019-09-30 22:00:00,UTILITE,UTIL,UTILITE,09SEBMO501 G05 DEMINEE  09 SEB MO 501,2019-10-18 12:08:01,1. FOR INFORMATION,Other,"Pas de défaut majeur relevé sur cet équipement sont visibles principalement des informations d'origine électrique sur le moteur et des harmoniques de la fréquence de rotation sur la pompe traduisant un léger jeu rotatif ainsi que des pics à 6 fois la fréquence de rotation liés à la fréquence hydraulique. Les niveaux sont faibles.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
36,09DEBMO501,2019-10-17 22:00:00,UTILITE,UTIL,UTILITE,09DEBMO501 G17/08 CHAUFF  09 DEB MO 501,2019-10-18 12:17:08,1. FOR INFORMATION,Other,"Nous observons principalement des fréquences non synchrones sur le palier de la pompe côté accouplement traduisant un probablement un défaut de roulement au stade naissant, pas d'autres problème particulier relevé sur le groupe.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
37,02ADGP301,2019-04-14 22:00:00,TRANCHE 2 - TG2-TV2 - 3 MOIS,TR 2,TRANCHE 2 - TG2-TV2 - 3 MOIS,02ADGP301 PPE EVAPORATEUR 02ADGP301,2019-04-15 14:54:51,1. FOR INFORMATION,Other,"Pas de défaut majeur relevé sur cet équipement, nous observons principalement des informations provenant des roulements sur la pompe avec de faibles amplitudes.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
38,02ADGP301,2019-07-29 22:00:00,TRANCHE 2 - TG2-TV2 - 3 MOIS,TR 2,TRANCHE 2 - TG2-TV2 - 3 MOIS,02ADGP301 PPE EVAPORATEUR 02ADGP301,2019-07-31 08:39:45,1. FOR INFORMATION,Other,"Pas de défaut majeur relevé sur cet équipement, nous observons principalement des informations d'origines électriques ainsi que des informations synchrones traduisant un léger jeu. Les amplitudes sont acceptables.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
39,02CTAP101,2019-07-29 22:00:00,TRANCHE 2 - TG2-TV2 - 3 MOIS,TR 2,TRANCHE 2 - TG2-TV2 - 3 MOIS,02CTAP101 TRANCHE 2 02CTAP101,2019-07-31 08:55:54,1. FOR INFORMATION,Other,"Pas de problème particulier, nous observons des harmoniques de la fréquence de rotation traduisant la présence d'un léger jeu rotatif sur l'ensemble du groupe avec des niveaux acceptables. Nous constatons une nette baisse des niveaux depuis la dernière mesure.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
40,MBV21AP002,2019-10-17 22:00:00,TRANCHE 1 TV1-TG1 - 3 MOIS,TR 1,TRANCHE 1 TV1-TG1 - 3 MOIS,MBV21AP002 PPE GRAIS PRIN 11MBV21AP002,2019-10-18 13:10:09,1. FOR INFORMATION,Other,"Pas de défaut majeur relevé sur cet équipement, visible principalement la présence de jeu rotatif ainsi que des informations d'origines électrique avec de faibles niveaux vibratoires.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
41,MBX21AP001,2019-10-17 22:00:00,TRANCHE 2 - TG2-TV2 - 3 MOIS,TR 2,TRANCHE 2 - TG2-TV2 - 3 MOIS,MBX21AP001 PPE CONTROLE 12MBX21AP001,2019-10-18 13:18:02,1. FOR INFORMATION,Other,"Pas de défaut majeur relevé sur cet équipement, nous observons principalement la présence d'informations synchrones traduisant la présence de jeu mécanique, les amplitudes sont acceptables.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
42,MBV21AP002,2019-10-17 22:00:00,TRANCHE 2 - TG2-TV2 - 3 MOIS,TR 2,TRANCHE 2 - TG2-TV2 - 3 MOIS,MBV21AP002 PPE GRAIS PRIN 11MBV21AP002,2019-10-18 13:21:37,1. FOR INFORMATION,Other,"Pas de défaut majeur relevé sur cet équipement, nous observons principalement la présence d'informations synchrones traduisant la présence de jeu mécanique, les amplitudes sont acceptables.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
43,1TTAFAN302,2019-05-12 22:00:00,CHAUDIERE 1MOIS-3MOIS,CHAU,CHAUDIERE 1MOIS-3MOIS,1TTAFAN302 VTL AIR BARRAGE 01TTAFAN302,2019-05-13 12:55:45,1. FOR INFORMATION,Other,"Nous observons une baisse des amplitudes et des niveaux vibratoires suite au remplacement du ventilateur, déséquilibre à 2.8 mm/s rms valeur max contre 9 mm/s rms lors de la précédente mesure.

Roulements OK / Jeu OK / Lubrification OK


PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
44,09SDAMO201,2019-05-12 22:00:00,UTILITE,UTIL,UTILITE,09SDAMO201 GO5 DEMINEE 09 SDA MO201,2019-05-13 13:13:34,1. FOR INFORMATION,Other,"Pas de défaut majeur relevé sur cet équipement, nous observons uniquement des fréquences électriques sur le moteur et la présence d'un léger frottement sur les mesures de la pompe, les niveaux sont faibles.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
45,MBV50AP001,2019-05-12 22:00:00,TRANCHE 1 TV1-TG1 - 3 MOIS,TR 1,TRANCHE 1 TV1-TG1 - 3 MOIS,MBV50AP001 MOT SOULEVEMENT 11MBV50AP001,2019-05-13 13:28:20,1. FOR INFORMATION,Other,"Pas de problème majeur relevé sur cet équipement, sont visibles principalement des informations à 6 fois la fréquence de rotation correspondants probablement au nombre de pâles, les niveaux sont acceptables.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
46,01CEXP201,2019-08-25 22:00:00,TRANCHE 1 TV1-TG1 - 3 MOIS,TR 1,TRANCHE 1 TV1-TG1 - 3 MOIS,01CEXP201 PPE EXTRACTION 01CEXP201,2019-08-26 10:04:26,1. FOR INFORMATION,Other,"Pas de défaut majeur relevé sur cet équipement, on retrouve principalement sur le moteur la fréquence de barre rotorique 56 ordres et modulation à 100HZ pouvant provenir de jeu au niveau des barres. Les amplitudes sont admissibles, évolution à suivre.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
47,01CVIP201,2019-10-17 22:00:00,TRANCHE 1 TV1-TG1 - 3 MOIS,TR 1,TRANCHE 1 TV1-TG1 - 3 MOIS,01CVIP201 PPE ANNEAULIQ 01CVIP201 1MOI,2019-10-21 06:18:58,1. FOR INFORMATION,Other,"Sur le moteur pas de problème particulier, sont visible principalement des fréquence d'origines électriques ainsi que des harmoniques de la fréquence de rotation.
Nous observons quelques fréquences non synchrones sur la pompe traduisant un défaut de roulement de faible amplitude, sont visible également des harmoniques de la fréquence de rotation traduisant du jeu ainsi qu'un pic à 15 ordres lié au fonctionnement de la pompe.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
48,01CEXP101,2019-10-17 22:00:00,TRANCHE 1 TV1-TG1 - 3 MOIS,TR 1,TRANCHE 1 TV1-TG1 - 3 MOIS,01CEXP101 PPE EXTRACTION 01CEXP101,2019-10-21 06:31:45,1. FOR INFORMATION,Other,"Nous ne relevons pas de défaut majeur sur cet équipement, sont principalement visibles des harmoniques de la fréquence de rotation traduisant la présence d'un léger jeu rotatif.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
49,01CEXP201,2019-10-17 22:00:00,TRANCHE 1 TV1-TG1 - 3 MOIS,TR 1,TRANCHE 1 TV1-TG1 - 3 MOIS,01CEXP201 PPE EXTRACTION 01CEXP201,2019-10-21 06:33:32,1. FOR INFORMATION,Other,"Pas de défaut majeur relevé sur cet équipement, on retrouve principalement sur le moteur des fréquences électriques et sur la pompe des harmoniques de la fréquence de rotation traduisant un léger jeu rotatif, évolution à suivre.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
50,01APHP201,2019-10-17 22:00:00,TRANCHE 1 TV1-TG1 - 3 MOIS,TR 1,TRANCHE 1 TV1-TG1 - 3 MOIS,01APHP201 LIGNE  APH 01APHP201 1MOIS,2019-10-21 06:44:01,1. FOR INFORMATION,Other,"Ligne APH à l'arrêt - Pas de défaut majeur relevé sur le moteur hydraulique, sont visibles principalement des fréquences non synchrones traduisant un défaut de roulement de faibles amplitudes ainsi que des harmoniques de la fréquence de rotation traduisant un léger jeu rotatif. Les niveaux vibratoires sont stables.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",Moteur hydraulique,Administrator/44538
51,01APHP101,2019-10-17 22:00:00,TRANCHE 1 TV1-TG1 - 3 MOIS,TR 1,TRANCHE 1 TV1-TG1 - 3 MOIS,01APHP101 LIGNE APH 01APHP101 1MOIS,2019-10-21 06:51:02,1. FOR INFORMATION,Other,"Aucune anomalie significative relevé sur la ligne APH, on retrouve principalement des harmoniques des fréquence de rotation d'entree et de sortie traduisant la présence de jeu ainsi que des fréquences d'engrénement. Les amplitudes sont acceptables, évolution à suivre lors de la prochaine campagne.

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,Administrator/44538
52,2TTAFAN301,2018-08-05 22:00:00,CHAUDIERE 1MOIS-3MOIS,CHAU,CHAUDIERE 1MOIS-3MOIS,2TTAFAN301 VTL AIR BARRAGE 02TTAFAN301,2018-08-06 12:51:18,1. FOR INFORMATION,Other,"Pas de problème particuleir relevé sur cet équipement.
Evolution à suivre normalement.

SUIVI PERIODIQUE",,UserID 10040/0
53,02SRIP201,2018-12-12 23:00:00,TRANCHE 2 - TG2-TV2 - 3 MOIS,TR 2,TRANCHE 2 - TG2-TV2 - 3 MOIS,02SRIP201 PPE REFRIGERATION 02SRIP201,2018-12-20 07:57:44,1. FOR INFORMATION,Other,"Sur la pompe, présence d'un décollement spectral visible sur la mesure HF pouvant être associé à la lubirifcation. les amplitude sont en hausse, un contrôle du niveau d'huile est conseillé.

CONTROLER LE NIVEAU D'HUILE DE LA POMPE

DELAI : 15 JOURS",,UserID 10038/0
54,01CRFP501,2019-02-11 23:00:00,STATION DE POMPAGE 1MOIS-3MOIS,PPE,STATION DE POMPAGE 1MOIS-3MOIS,01CRFP501 PPE EAU MER 01CRFP501  1MOIS,2019-02-12 14:46:22,1. FOR INFORMATION,N/A,"Pas de défaut particulier relevé sur cet équipement.

Lubrification OK
Roulements OK
Déséquilibre OK
Jeu OK
Lignage OK

PAS D'ACTION REQUISE - EQUIPEMENT A SUIVRE SELON LE PLANNING",,UserID 10042/0
